model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 X3,,Semi-Auto,1604.0,,145.0,,3.0,54595
 2 Series,2020.0,Manual,10.0,Diesel,145.0,,2.0,22450
 2 Series,2017.0,Manual,22445.0,Petrol,125.0,50.4,1.5,14300
 M5,2018.0,Semi-Auto,10455.0,Petrol,150.0,26.9,4.4,59973
 X2,2019.0,Semi-Auto,4362.0,Petrol,145.0,39.2,2.0,27990
 4 Series,2016.0,Automatic,31919.0,Diesel,30.0,65.7,2.0,17199
 X4,2019.0,Semi-Auto,10755.0,Diesel,145.0,42.8,2.0,35480
 3 Series,2013.0,Semi-Auto,27604.0,,,43.5,2.0,14671
 5 Series,2015.0,Automatic,45000.0,Diesel,160.0,51.4,3.0,15490
 X4,2018.0,Semi-Auto,5000.0,Diesel,145.0,40.4,,36000
 3 Series,2013.0,,46577.0,Petrol,,,1.6,9400
 X5,2015.0,Automatic,44087.0,Diesel,200.0,47.1,3.0,27844
 X1,2019.0,Semi-Auto,150.0,Petrol,145.0,,2.0,28875
 2 Series,2019.0,Automatic,,Diesel,145.0,61.4,2.0,24995
 1 Series,2017.0,Automatic,,Diesel,145.0,67.3,2.0,13100
 1 Series,2019.0,Automatic,9119.0,Petrol,150.0,38.7,1.5,16000
 X3,2019.0,Automatic,8813.0,,145.0,54.3,2.0,31116
 X1,2019.0,Semi-Auto,,Petrol,145.0,48.7,2.0,27990
 3 Series,2020.0,Semi-Auto,5000.0,Diesel,145.0,47.9,3.0,35999
 X3,2015.0,Automatic,37000.0,Diesel,200.0,47.9,3.0,22250
 5 Series,2010.0,Automatic,70000.0,Diesel,,54.3,2.0,7975
 5 Series,2019.0,Automatic,105.0,Petrol,,50.4,2.0,26980
 1 Series,2014.0,Semi-Auto,20000.0,Diesel,30.0,64.2,2.0,13750
 X2,2019.0,Semi-Auto,3901.0,Petrol,145.0,38.7,2.0,28991
 3 Series,2002.0,Manual,99000.0,Petrol,325.0,30.1,2.2,2350
 5 Series,2016.0,Automatic,,Diesel,125.0,60.1,2.0,12990
 3 Series,2015.0,Semi-Auto,,Diesel,165.0,,3.0,18981
 X1,2016.0,Automatic,16917.0,Diesel,145.0,55.4,2.0,20295
 X2,2018.0,Semi-Auto,,Diesel,145.0,61.4,,25969
 2 Series,2017.0,Semi-Auto,10556.0,Diesel,20.0,68.9,2.0,15582
 X2,2019.0,Semi-Auto,4169.0,Petrol,145.0,34.0,2.0,31790
 4 Series,2018.0,Semi-Auto,4000.0,Diesel,145.0,58.9,2.0,27995
 1 Series,2017.0,Manual,29116.0,Diesel,145.0,83.1,1.5,11650
 X4,2019.0,Semi-Auto,8454.0,Diesel,150.0,42.8,2.0,36990
 1 Series,2017.0,Semi-Auto,,Diesel,20.0,72.4,1.5,12390
 3 Series,2013.0,Semi-Auto,51645.0,,30.0,62.8,2.0,10298
 1 Series,2019.0,Manual,2921.0,Petrol,145.0,44.1,1.5,21980
 3 Series,2016.0,Automatic,36584.0,,30.0,,2.0,16500
 X3,2019.0,Semi-Auto,6981.0,,145.0,30.4,,31000
 1 Series,2020.0,Semi-Auto,150.0,Diesel,,51.4,2.0,27840
 X2,2019.0,Semi-Auto,7922.0,Diesel,145.0,58.9,2.0,28881
 5 Series,2017.0,Semi-Auto,20657.0,Diesel,145.0,60.1,2.0,24498
 1 Series,,Semi-Auto,21914.0,Diesel,,,2.0,15998
 1 Series,2017.0,Semi-Auto,26072.0,Petrol,200.0,39.8,3.0,21498
 1 Series,2020.0,Semi-Auto,5000.0,Petrol,,,,24980
 3 Series,2015.0,Semi-Auto,39000.0,Petrol,200.0,41.5,3.0,20440
 1 Series,2019.0,Automatic,5504.0,Petrol,145.0,55.5,1.5,15989
 1 Series,2017.0,Semi-Auto,22000.0,Petrol,150.0,39.8,3.0,20995
 X5,2019.0,Semi-Auto,10.0,Diesel,150.0,37.7,3.0,52875
 1 Series,2017.0,Automatic,72814.0,,125.0,54.3,1.5,13399
 4 Series,2016.0,Semi-Auto,16635.0,Diesel,160.0,50.4,3.0,21280
 5 Series,2019.0,Automatic,9420.0,,145.0,50.4,2.0,23000
 3 Series,2017.0,Automatic,24624.0,Petrol,,,2.0,15995
